SearchBayesianSkopt: Resuming 'PureSVDRecommender' Failed, no such file exists.

SearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 255} - results: PRECISION: 0.0082715, PRECISION_RECALL_MIN_DEN: 0.0827147, RECALL: 0.0827147, MAP: 0.0030061, MAP_MIN_DEN: 0.0300607, MRR: 0.0300607, NDCG: 0.0422044, F1: 0.0150390, HIT_RATE: 0.0827147, ARHR_ALL_HITS: 0.0300607, NOVELTY: 0.0588073, AVERAGE_POPULARITY: 0.2043634, DIVERSITY_MEAN_INTER_LIST: 0.9805218, DIVERSITY_HERFINDAHL: 0.9979482, COVERAGE_ITEM: 0.4928656, COVERAGE_ITEM_HIT: 0.0392390, ITEMS_IN_GT: 0.2865636, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.0827147, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.2764472, SHANNON_ENTROPY: 9.2309433, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 201} - results: PRECISION: 0.0106045, PRECISION_RECALL_MIN_DEN: 0.1060445, RECALL: 0.1060445, MAP: 0.0036105, MAP_MIN_DEN: 0.0361048, MRR: 0.0361048, NDCG: 0.0522483, F1: 0.0192808, HIT_RATE: 0.1060445, ARHR_ALL_HITS: 0.0361048, NOVELTY: 0.0572436, AVERAGE_POPULARITY: 0.2414447, DIVERSITY_MEAN_INTER_LIST: 0.9772590, DIVERSITY_HERFINDAHL: 0.9976223, COVERAGE_ITEM: 0.4464923, COVERAGE_ITEM_HIT: 0.0487515, ITEMS_IN_GT: 0.2865636, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.1060445, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.2422317, SHANNON_ENTROPY: 9.0411110, 
SearchBayesianSkopt: New best config found. Config 10: {'num_factors': 11} - results: PRECISION: 0.0232238, PRECISION_RECALL_MIN_DEN: 0.2322375, RECALL: 0.2322375, MAP: 0.0090616, MAP_MIN_DEN: 0.0906163, MRR: 0.0906163, NDCG: 0.1234809, F1: 0.0422250, HIT_RATE: 0.2322375, ARHR_ALL_HITS: 0.0906163, NOVELTY: 0.0502974, AVERAGE_POPULARITY: 0.5094729, DIVERSITY_MEAN_INTER_LIST: 0.9045453, DIVERSITY_HERFINDAHL: 0.9903586, COVERAGE_ITEM: 0.1718193, COVERAGE_ITEM_HIT: 0.0517241, ITEMS_IN_GT: 0.2865636, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.2322375, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.0629944, SHANNON_ENTROPY: 7.1461742, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'num_factors': 11} - results:
CUTOFF: 5 - PRECISION: 0.4093319, PRECISION_RECALL_MIN_DEN: 0.4124072, RECALL: 0.1341701, MAP: 0.3244256, MAP_MIN_DEN: 0.3263150, MRR: 0.6370272, NDCG: 0.3354313, F1: 0.2020972, HIT_RATE: 0.8494168, ARHR_ALL_HITS: 1.0174443, NOVELTY: 0.0246971, AVERAGE_POPULARITY: 0.5607000, DIVERSITY_MEAN_INTER_LIST: 0.9263713, DIVERSITY_HERFINDAHL: 0.9850778, COVERAGE_ITEM: 0.1266350, COVERAGE_ITEM_HIT: 0.1105826, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.8494168, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.0442811, SHANNON_ENTROPY: 6.6175840, 
CUTOFF: 10 - PRECISION: 0.3429480, PRECISION_RECALL_MIN_DEN: 0.3878272, RECALL: 0.2149468, MAP: 0.2445077, MAP_MIN_DEN: 0.2667685, MRR: 0.6465834, NDCG: 0.3405497, F1: 0.2642634, HIT_RATE: 0.9183457, ARHR_ALL_HITS: 1.1985819, NOVELTY: 0.0502974, AVERAGE_POPULARITY: 0.5094729, DIVERSITY_MEAN_INTER_LIST: 0.9045453, DIVERSITY_HERFINDAHL: 0.9903586, COVERAGE_ITEM: 0.1718193, COVERAGE_ITEM_HIT: 0.1504162, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.9183457, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.0629944, SHANNON_ENTROPY: 7.1461742, 
CUTOFF: 50 - PRECISION: 0.1864263, PRECISION_RECALL_MIN_DEN: 0.5347809, RECALL: 0.5228236, MAP: 0.0980166, MAP_MIN_DEN: 0.2226542, MRR: 0.6511046, NDCG: 0.4262665, F1: 0.2748483, HIT_RATE: 0.9946978, ARHR_ALL_HITS: 1.4604396, NOVELTY: 0.2673868, AVERAGE_POPULARITY: 0.3703626, DIVERSITY_MEAN_INTER_LIST: 0.8233724, DIVERSITY_HERFINDAHL: 0.9964500, COVERAGE_ITEM: 0.3620690, COVERAGE_ITEM_HIT: 0.3121284, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.9946978, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.1549483, SHANNON_ENTROPY: 8.4278686, 
CUTOFF: 1681 - PRECISION: 0.0140239, PRECISION_RECALL_MIN_DEN: 1.0000000, RECALL: 1.0000000, MAP: 0.0047660, MAP_MIN_DEN: 0.2681883, MRR: 0.6511877, NDCG: 0.5535366, F1: 0.0276599, HIT_RATE: 1.0000000, ARHR_ALL_HITS: 1.5484222, NOVELTY: 11.4002989, AVERAGE_POPULARITY: 0.0899596, DIVERSITY_MEAN_INTER_LIST: 0.0922620, DIVERSITY_HERFINDAHL: 0.9994025, COVERAGE_ITEM: 1.0000000, COVERAGE_ITEM_HIT: 0.8335315, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 1.0000000, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.9670957, SHANNON_ENTROPY: 10.7121394, 

